unique_cell_id,nuc_area,nucGRint,cytoGRint,time,dex_conc,replica,fov,nas_location,h5_idx,background_p1,background_p3,background_p5,background_p10,background_otsu_thresh,background_mean_otsu,background_median_otsu,background_std_otsu,imageDates,NucGRCorrected,CytGRCorrected,CalcCytoArea,normGRcyt,normGRnuc
15000161,8684,4355.41275,3107.424239,120,1,A,9,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,618.7517462,639.5975794,653.6025786,681.1326031,2196.60507,1041.696643,794.6135112,465.3522041,20230516,3521.40507502933,2512.39092907641,15686.290501184523,18,11
15000164,7673,3706.622548,2969.354927,120,1,A,9,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,618.7517462,639.5975794,653.6025786,681.1326031,2196.60507,1041.696643,794.6135112,465.3522041,20230516,2996.85017263756,2400.76018271773,13889.524535482946,17,7
15000165,7591,4611.727719,2751.107079,120,1,A,9,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,618.7517462,639.5975794,653.6025786,681.1326031,2196.60507,1041.696643,794.6135112,465.3522041,20230516,3728.63889750519,2224.304098375,13766.780161080875,15,12
15000166,8425,5536.173781,3528.447583,120,1,A,9,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,618.7517462,639.5975794,653.6025786,681.1326031,2196.60507,1041.696643,794.6135112,465.3522041,20230516,4476.06497194961,2852.79350981171,15176.037072718025,22,18
15000169,8580,3540.279694,2422.394577,120,1,A,9,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,618.7517462,639.5975794,653.6025786,681.1326031,2196.60507,1041.696643,794.6135112,465.3522041,20230516,2862.3599178918,1958.53597507408,15477.266616419854,11,7
15000172,9304,4120.240581,2852.366877,120,1,A,10,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,629.8775513,651.8851255,666.5602582,695.3702851,2039.032976,1004.29133,796.8982374,411.7062796,20230516,3331.26546784233,2306.17389741382,17047.52371763763,16,10
15000175,8913,4171.951462,2391.229303,120,1,A,10,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,629.8775513,651.8851255,666.5602582,695.3702851,2039.032976,1004.29133,796.8982374,411.7062796,20230516,3373.07435467806,1933.33846560077,16166.103504732235,11,10
15000176,9146,4146.487996,2853.505381,120,1,A,10,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,629.8775513,651.8851255,666.5602582,695.3702851,2039.032976,1004.29133,796.8982374,411.7062796,20230516,3352.48682749128,2307.09439197855,16681.906698374394,16,10
15000177,8436,4321.245012,2825.7743,120,1,A,10,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,629.8775513,651.8851255,666.5602582,695.3702851,2039.032976,1004.29133,796.8982374,411.7062796,20230516,3493.7800362783,2284.67347001899,15197.008386993324,15,11
15000185,9022,3857.4073,2433.972373,120,1,A,10,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,629.8775513,651.8851255,666.5602582,695.3702851,2039.032976,1004.29133,796.8982374,411.7062796,20230516,3118.76150949762,1967.89676633136,16403.935394352084,11,8
